"BehaviorSpace results (NetLogo 5.1.0)"
"Multifunctional3.nlogo"
"experiment"
"12/16/2014 14:01:25:153 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","cost","mutation_size","Neighborhood_size","baseline_fitness","payoff_assessment","mutation_probability","Mode","Game_Type","initial_propD","initial_heterogeneity","benefit","[step]","mean [strat_P_cur] of patches"
"37","0.2608696","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.8349809426649195"
"38","0.2608696","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.8442517358331406"
"39","0.2608696","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.8485271595547921"
"41","0.3333333","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.7948006927404673"
"40","0.2608696","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.8372268462710364"
"42","0.3333333","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.7974195846145483"
"43","0.3333333","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.7876469545875378"
"44","0.3333333","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.7994287658647896"
"46","0.3333333","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.8052830435383334"
"45","0.3333333","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.8057595552040245"
"47","0.3333333","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.8012722287244296"
"48","0.3333333","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.7813965870179942"
"49","0.3333333","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.7892425315740149"
"50","0.3333333","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.803622905311556"
"51","0.4","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.7410483032003689"
"52","0.4","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.7435008235379418"
"53","0.4","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.7417864365032213"
"54","0.4","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.746029616373052"
"55","0.4","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.7502794034202253"
"56","0.4","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.7370361578176385"
"57","0.4","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.7363380634394759"
"59","0.4","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.7327638188506442"
"58","0.4","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.7399237222162505"
"60","0.4","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.7451695636314549"
"61","0.4615385","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.6936398804295557"
"62","0.4615385","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.718948638260649"
"63","0.4615385","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.6918602434042332"
"64","0.4615385","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.6906155313705413"
"65","0.4615385","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.6919179083467717"
"66","0.4615385","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.7040338448640523"
"67","0.4615385","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.6897896695218112"
"68","0.4615385","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.6914688857273783"
"69","0.4615385","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.7041612115901272"
"70","0.4615385","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.679423008863524"
"71","0.5185185","0.0020","24","0","""nonlinear_with_error""","0.01","""Spatial_MixedStrategy""","""Hawk-Dove""","0.01","0.02","1","10000","0.6248998067928108"
