"BehaviorSpace results (NetLogo 5.1.0)"
"Task3_HD_spatial.nlogo"
"experiment"
"12/10/2014 14:47:23:632 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","cost","baseline_fitness","benefit","strategy","mutation_rate","initial_propD","initial_heterogeneity","[step]","count patches with [ strategy_current = ""C"" ] / count patches","mean [probD ] of patches"
"56","0.4","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.7389465590157631","0.25467640807068925"
"57","0.4","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.7435601691657054","0.26352257854188726"
"58","0.4","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.73279507881584","0.25639726506795735"
"59","0.4","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.73279507881584","0.2626513983395334"
"60","0.4","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.7270280661284122","0.25992167756628726"
"61","0.4615385","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.6931949250288351","0.3042042512093645"
"62","0.4615385","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.6993464052287581","0.3021831249014092"
"63","0.4615385","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.6847366397539408","0.3055074768664476"
"64","0.4615385","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.6666666666666666","0.3103175803428401"
"65","0.4615385","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.6820453671664745","0.31680120526835115"
"66","0.4615385","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.6878123798539023","0.3093278467194852"
"67","0.4615385","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.6997308727412533","0.30218697292776225"
"68","0.4615385","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.698961937716263","0.3113283073214974"
"69","0.4615385","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.6866589773164168","0.3125213115724643"
"70","0.4615385","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.6851211072664359","0.30801912020369515"
"71","0.5185185","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.631680123029604","0.35957893309337835"
"72","0.5185185","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.6386005382545175","0.3640909580755017"
"73","0.5185185","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.6328335255670896","0.3615364865067106"
"74","0.5185185","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.6462898885044214","0.36423316473790074"
"75","0.5185185","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.6397539407920031","0.35280141251662367"
"76","0.5185185","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.6374471357170319","0.361656554553237"
"77","0.5185185","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.641676278354479","0.3470890135017245"
"78","0.5185185","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.6286043829296425","0.3641942643700861"
"79","0.5185185","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.6551326412918108","0.3539034110790479"
"80","0.5185185","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.645520953479431","0.3610098885334562"
"81","0.5714286","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.6089965397923875","0.4012858567314897"
"83","0.5714286","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.5728565936178392","0.4118573768033307"
"82","0.5714286","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.6009227220299884","0.408118936175542"
"84","0.5714286","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.5990003844675125","0.4151649451322265"
"85","0.5714286","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.5893886966551326","0.4179894423619535"
"86","0.5714286","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.5986159169550173","0.4099212265854054"
"87","0.5714286","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.5886197616301423","0.41030835806305427"
"88","0.5714286","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.5832372164552095","0.40532321051341497"
"89","0.5714286","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.5793925413302576","0.4005234803223058"
"90","0.5714286","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.5874663590926567","0.4109882775536121"
"91","0.6206897","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.5690119184928873","0.4462249845800115"
"92","0.6206897","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.5236447520184544","0.4640431838520642"
"93","0.6206897","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.532487504805844","0.45420756294590786"
"94","0.6206897","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.5570934256055363","0.45954239874006614"
"95","0.6206897","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.5374855824682814","0.45736010710657865"
"96","0.6206897","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.5578623606305267","0.457414328494112"
"97","0.6206897","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.5305651672433679","0.46784145318403164"
"98","0.6206897","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.5420991926182238","0.4513715315799188"
"100","0.6206897","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.5397923875432526","0.449753006734762"
"99","0.6206897","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.5428681276432141","0.45499002339170175"
"101","0.6666667","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.5098039215686274","0.5022161111833624"
"102","0.6666667","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.5198000768935025","0.49748038434062464"
"103","0.6666667","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.49519415609381007","0.5046460518284389"
"104","0.6666667","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.4875048058439062","0.5051490810897404"
"105","0.6666667","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.49788542868127644","0.4973250073249333"
"106","0.6666667","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.49519415609381007","0.5088942533879782"
"107","0.6666667","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.4863514033064206","0.5158047708259671"
"108","0.6666667","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.48327566320645904","0.5178811527000716"
"109","0.6666667","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.4875048058439062","0.5092032463629281"
"111","0.7096774","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.4409842368319877","0.5578037026853707"
"110","0.6666667","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.49519415609381007","0.5087629712116385"
"112","0.7096774","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.4429065743944637","0.5601996330584801"
"113","0.7096774","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.4271434063821607","0.5563955218036363"
"114","0.7096774","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.44521337946943484","0.5604923456224623"
"115","0.7096774","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.435601691657055","0.5587082970492676"
"116","0.7096774","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.42368319876970395","0.5714680128713826"
"118","0.7096774","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.43137254901960786","0.5632976029617588"
"117","0.7096774","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.43790849673202614","0.5640104284632687"
"119","0.7096774","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.4398308342945021","0.5620805848906705"
"120","0.7096774","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.4429065743944637","0.5577854358176894"
"121","0.75","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.3886966551326413","0.5990273993289511"
"122","0.75","0","1","""Mixed""","0.0020","0.02","0.02","10000","0.39138792772010766","0.6088625965037373"
