"BehaviorSpace results (NetLogo 5.1.0)"
"Task2_HD_spatial.nlogo"
"experiment"
"12/10/2014 15:46:16:976 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","baseline_fitness","Neighborhood_size","cost","benefit","initial_propD","[step]","count patches with [ strategy_current = ""C"" ] / count patches"
"111","0","24","0.7096774","1","0.01","5000","0.3748"
"112","0","24","0.7096774","1","0.01","5000","0.3748"
"113","0","24","0.7096774","1","0.01","5000","0.384"
"114","0","24","0.7096774","1","0.01","5000","0.3788"
"115","0","24","0.7096774","1","0.01","5000","0.3748"
"116","0","24","0.7096774","1","0.01","5000","0.3832"
"117","0","24","0.7096774","1","0.01","5000","0.3868"
"118","0","24","0.7096774","1","0.01","5000","0.3828"
"119","0","24","0.7096774","1","0.01","5000","0.376"
"120","0","24","0.7096774","1","0.01","5000","0.3756"
"121","0","24","0.75","1","0.01","5000","0.336"
"122","0","24","0.75","1","0.01","5000","0.3384"
"123","0","24","0.75","1","0.01","5000","0.332"
"124","0","24","0.75","1","0.01","5000","0.3288"
"126","0","24","0.75","1","0.01","5000","0.3328"
"125","0","24","0.75","1","0.01","5000","0.3364"
"127","0","24","0.75","1","0.01","5000","0.342"
"128","0","24","0.75","1","0.01","5000","0.338"
"129","0","24","0.75","1","0.01","5000","0.332"
"130","0","24","0.75","1","0.01","5000","0.3292"
"131","0","24","0.7878788","1","0.01","5000","0.2832"
"132","0","24","0.7878788","1","0.01","5000","0.2848"
"133","0","24","0.7878788","1","0.01","5000","0.2812"
"134","0","24","0.7878788","1","0.01","5000","0.2776"
"135","0","24","0.7878788","1","0.01","5000","0.2816"
"136","0","24","0.7878788","1","0.01","5000","0.2804"
"137","0","24","0.7878788","1","0.01","5000","0.2884"
"138","0","24","0.7878788","1","0.01","5000","0.2852"
"139","0","24","0.7878788","1","0.01","5000","0.286"
"140","0","24","0.7878788","1","0.01","5000","0.2752"
"141","0","24","0.8235294","1","0.01","5000","0.2356"
"142","0","24","0.8235294","1","0.01","5000","0.236"
"143","0","24","0.8235294","1","0.01","5000","0.2288"
"144","0","24","0.8235294","1","0.01","5000","0.2348"
"145","0","24","0.8235294","1","0.01","5000","0.236"
"146","0","24","0.8235294","1","0.01","5000","0.24"
"147","0","24","0.8235294","1","0.01","5000","0.2328"
"148","0","24","0.8235294","1","0.01","5000","0.2316"
"149","0","24","0.8235294","1","0.01","5000","0.236"
"150","0","24","0.8235294","1","0.01","5000","0.2328"
"151","0","24","0.8571429","1","0.01","5000","0.1836"
"152","0","24","0.8571429","1","0.01","5000","0.1804"
"153","0","24","0.8571429","1","0.01","5000","0.1748"
"155","0","24","0.8571429","1","0.01","5000","0.1872"
"154","0","24","0.8571429","1","0.01","5000","0.1752"
"156","0","24","0.8571429","1","0.01","5000","0.176"
"157","0","24","0.8571429","1","0.01","5000","0.1852"
"158","0","24","0.8571429","1","0.01","5000","0.1844"
"159","0","24","0.8571429","1","0.01","5000","0.184"
"160","0","24","0.8571429","1","0.01","5000","0.182"
"161","0","24","0.8888889","1","0.01","5000","0.1416"
"162","0","24","0.8888889","1","0.01","5000","0.1372"
"163","0","24","0.8888889","1","0.01","5000","0.1372"
"164","0","24","0.8888889","1","0.01","5000","0.128"
"165","0","24","0.8888889","1","0.01","5000","0.1304"
"166","0","24","0.8888889","1","0.01","5000","0.134"
"168","0","24","0.8888889","1","0.01","5000","0.1408"
"167","0","24","0.8888889","1","0.01","5000","0.1312"
"169","0","24","0.8888889","1","0.01","5000","0.1416"
"170","0","24","0.8888889","1","0.01","5000","0.1288"
"171","0","24","0.9189189","1","0.01","5000","0.0904"
