"BehaviorSpace results (NetLogo 5.1.0)"
"Task3_HD_spatial.nlogo"
"experiment"
"12/14/2014 18:55:49:083 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","mutation_size","strategy","initial_propD","payoff_assessment","initial_heterogeneity","baseline_fitness","benefit","mutation_probability","cost","[step]","mean [probD] of patches","count patches with [strategy_current = ""C""] / count patches"
"44","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.3333333","10000","0.15494790066691455","0.8512110726643599"
"46","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.3333333","10000","0.1970331685027962","0.805843906189927"
"45","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.3333333","10000","0.16713118377763272","0.8423683198769704"
"47","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.3333333","10000","0.17402548808802376","0.8281430219146482"
"48","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.3333333","10000","0.14830376537679063","0.8481353325643983"
"49","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.3333333","10000","0.16993932410772103","0.817762399077278"
"51","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.4","10000","0.1850785716687103","0.813917723952326"
"50","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.3333333","10000","0.15758199866496578","0.8477508650519031"
"52","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.4","10000","0.15796839629969006","0.8519800076893502"
"53","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.4","10000","0.16754355116850958","0.8200692041522492"
"54","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.4","10000","0.17669052243883518","0.8062283737024222"
"55","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.4","10000","0.17946372832508412","0.8254517493271819"
"56","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.4","10000","0.1921522960022781","0.8073817762399077"
"58","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.4","10000","0.17143226405873918","0.8392925797770089"
"57","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.4","10000","0.1892928918765172","0.7985390234525183"
"59","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.4","10000","0.15443964003248334","0.8408304498269896"
"60","0.002","""Mixed""","0.01","""nonlinear_with_error""","0.02","0","1","0.01","0.4","10000","0.1564249630252031","0.8373702422145328"
