"BehaviorSpace results (NetLogo 5.1.0)"
"Task1_HD_spatial.nlogo"
"HD_spatial"
"12/10/2014 13:41:07:501 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","benefit","initial_propD","baseline_fitness","cost","[step]","count patches with [strategy_current = ""C""] / count patches"
"93","1","0.01","0","0.6206897","5000","0.4033064206074587"
"94","1","0.01","0","0.6206897","5000","0.3990772779700115"
"95","1","0.01","0","0.6206897","5000","0.4044598231449443"
"97","1","0.01","0","0.6206897","5000","0.4213763936947328"
"96","1","0.01","0","0.6206897","5000","0.4144559784698193"
"98","1","0.01","0","0.6206897","5000","0.4117647058823529"
"99","1","0.01","0","0.6206897","5000","0.407920030757401"
"100","1","0.01","0","0.6206897","5000","0.4033064206074587"
"101","1","0.01","0","0.6666667","5000","0.3617839292579777"
"102","1","0.01","0","0.6666667","5000","0.35101883890811225"
"103","1","0.01","0","0.6666667","5000","0.3548635140330642"
"104","1","0.01","0","0.6666667","5000","0.3571703191080354"
"106","1","0.01","0","0.6666667","5000","0.3548635140330642"
"105","1","0.01","0","0.6666667","5000","0.3633217993079585"
"107","1","0.01","0","0.6666667","5000","0.3621683967704729"
"108","1","0.01","0","0.6666667","5000","0.3617839292579777"
"109","1","0.01","0","0.6666667","5000","0.36101499423298733"
"110","1","0.01","0","0.6666667","5000","0.3552479815455594"
"111","1","0.01","0","0.7096774","5000","0.3164167627835448"
"112","1","0.01","0","0.7096774","5000","0.3075740099961553"
"113","1","0.01","0","0.7096774","5000","0.30411380238369856"
"115","1","0.01","0","0.7096774","5000","0.2975778546712803"
"114","1","0.01","0","0.7096774","5000","0.30526720492118414"
"116","1","0.01","0","0.7096774","5000","0.3075740099961553"
"117","1","0.01","0","0.7096774","5000","0.28988850442137637"
"118","1","0.01","0","0.7096774","5000","0.2933487120338331"
"119","1","0.01","0","0.7096774","5000","0.29834678969627065"
"120","1","0.01","0","0.7096774","5000","0.2968089196462899"
"122","1","0.01","0","0.75","5000","0.24875048058439062"
"121","1","0.01","0","0.75","5000","0.24567474048442905"
"123","1","0.01","0","0.75","5000","0.24682814302191464"
"124","1","0.01","0","0.75","5000","0.24875048058439062"
"125","1","0.01","0","0.75","5000","0.25297962322183776"
"126","1","0.01","0","0.75","5000","0.2368319876970396"
"127","1","0.01","0","0.75","5000","0.2499038831218762"
"128","1","0.01","0","0.75","5000","0.2437524029219531"
"129","1","0.01","0","0.75","5000","0.25297962322183776"
"131","1","0.01","0","0.7878788","5000","0.18838908112264513"
"130","1","0.01","0","0.75","5000","0.23875432525951557"
"132","1","0.01","0","0.7878788","5000","0.17993079584775087"
"133","1","0.01","0","0.7878788","5000","0.18915801614763553"
"134","1","0.01","0","0.7878788","5000","0.18185313341022682"
"135","1","0.01","0","0.7878788","5000","0.1768550557477893"
"136","1","0.01","0","0.7878788","5000","0.1903114186851211"
"137","1","0.01","0","0.7878788","5000","0.1964628988850442"
"138","1","0.01","0","0.7878788","5000","0.18992695117262592"
"140","1","0.01","0","0.7878788","5000","0.1987697039600154"
"139","1","0.01","0","0.7878788","5000","0.18646674356016918"
"141","1","0.01","0","0.8235294","5000","0.13071895424836602"
"142","1","0.01","0","0.8235294","5000","0.12033833141099577"
"143","1","0.01","0","0.8235294","5000","0.11956939638600539"
"144","1","0.01","0","0.8235294","5000","0.11956939638600539"
"145","1","0.01","0","0.8235294","5000","0.1376393694732795"
"147","1","0.01","0","0.8235294","5000","0.11687812379853903"
"146","1","0.01","0","0.8235294","5000","0.12764321414840446"
"148","1","0.01","0","0.8235294","5000","0.12572087658592848"
"149","1","0.01","0","0.8235294","5000","0.12918108419838523"
"150","1","0.01","0","0.8235294","5000","0.12072279892349097"
"151","1","0.01","0","0.8571429","5000","0.05344098423683199"
"152","1","0.01","0","0.8571429","5000","0.04267589388696655"
"153","1","0.01","0","0.8571429","5000","0.05459438677431757"
"154","1","0.01","0","0.8571429","5000","0.04459823144944252"
"156","1","0.01","0","0.8571429","5000","0.04767397154940407"
"155","1","0.01","0","0.8571429","5000","0.040753556324490584"
"157","1","0.01","0","0.8571429","5000","0.0457516339869281"
"158","1","0.01","0","0.8571429","5000","0.0526720492118416"
"159","1","0.01","0","0.8571429","5000","0.05151864667435602"
"161","1","0.01","0","0.8888889","461","0"
"162","1","0.01","0","0.8888889","479","0"
"163","1","0.01","0","0.8888889","545","0"
"164","1","0.01","0","0.8888889","525","0"
"165","1","0.01","0","0.8888889","685","0"
"166","1","0.01","0","0.8888889","478","0"
"167","1","0.01","0","0.8888889","478","0"
"160","1","0.01","0","0.8571429","5000","0.048827374086889655"
"168","1","0.01","0","0.8888889","506","0"
"170","1","0.01","0","0.8888889","542","0"
"169","1","0.01","0","0.8888889","758","0"
"171","1","0.01","0","0.9189189","270","0"
"172","1","0.01","0","0.9189189","249","0"
"173","1","0.01","0","0.9189189","243","0"
"175","1","0.01","0","0.9189189","335","0"
"174","1","0.01","0","0.9189189","312","0"
"176","1","0.01","0","0.9189189","293","0"
"177","1","0.01","0","0.9189189","247","0"
"178","1","0.01","0","0.9189189","247","0"
"179","1","0.01","0","0.9189189","283","0"
"180","1","0.01","0","0.9189189","265","0"
"181","1","0.01","0","0.9473684","194","0"
"182","1","0.01","0","0.9473684","177","0"
