"BehaviorSpace results (NetLogo 5.1.0)"
"Task3_HD_spatial.nlogo"
"experiment"
"12/10/2014 14:59:43:397 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","initial_heterogeneity","strategy","initial_propD","baseline_fitness","cost","mutation_rate","benefit","[step]","count patches with [strategy_current = ""C""] / count patches"
"68","0.02","""Mixed""","0.01","0","0.4615385","0.0020","1","10000","0.695117262591311"
"69","0.02","""Mixed""","0.01","0","0.4615385","0.0020","1","10000","0.7120338331410996"
"70","0.02","""Mixed""","0.01","0","0.4615385","0.0020","1","10000","0.6858900422914264"
"71","0.02","""Mixed""","0.01","0","0.5185185","0.0020","1","10000","0.641676278354479"
"72","0.02","""Mixed""","0.01","0","0.5185185","0.0020","1","10000","0.6643598615916955"
"73","0.02","""Mixed""","0.01","0","0.5185185","0.0020","1","10000","0.635524798154556"
"74","0.02","""Mixed""","0.01","0","0.5185185","0.0020","1","10000","0.6359092656670511"
"75","0.02","""Mixed""","0.01","0","0.5185185","0.0020","1","10000","0.6485966935793925"
"77","0.02","""Mixed""","0.01","0","0.5185185","0.0020","1","10000","0.6339869281045751"
"78","0.02","""Mixed""","0.01","0","0.5185185","0.0020","1","10000","0.6655132641291811"
"76","0.02","""Mixed""","0.01","0","0.5185185","0.0020","1","10000","0.6439830834294502"
"79","0.02","""Mixed""","0.01","0","0.5185185","0.0020","1","10000","0.6447520184544406"
"80","0.02","""Mixed""","0.01","0","0.5185185","0.0020","1","10000","0.6651287966166859"
"81","0.02","""Mixed""","0.01","0","0.5714286","0.0020","1","10000","0.5905420991926182"
"83","0.02","""Mixed""","0.01","0","0.5714286","0.0020","1","10000","0.5913110342176087"
"82","0.02","""Mixed""","0.01","0","0.5714286","0.0020","1","10000","0.6043829296424452"
"84","0.02","""Mixed""","0.01","0","0.5714286","0.0020","1","10000","0.5832372164552095"
"85","0.02","""Mixed""","0.01","0","0.5714286","0.0020","1","10000","0.6001537870049981"
"86","0.02","""Mixed""","0.01","0","0.5714286","0.0020","1","10000","0.6001537870049981"
"87","0.02","""Mixed""","0.01","0","0.5714286","0.0020","1","10000","0.590157631680123"
"88","0.02","""Mixed""","0.01","0","0.5714286","0.0020","1","10000","0.5890042291426374"
"89","0.02","""Mixed""","0.01","0","0.5714286","0.0020","1","10000","0.5932333717800846"
"90","0.02","""Mixed""","0.01","0","0.5714286","0.0020","1","10000","0.5890042291426374"
"92","0.02","""Mixed""","0.01","0","0.6206897","0.0020","1","10000","0.5367166474432911"
"93","0.02","""Mixed""","0.01","0","0.6206897","0.0020","1","10000","0.5540176855055747"
"91","0.02","""Mixed""","0.01","0","0.6206897","0.0020","1","10000","0.5317185697808535"
"94","0.02","""Mixed""","0.01","0","0.6206897","0.0020","1","10000","0.5409457900807382"
"95","0.02","""Mixed""","0.01","0","0.6206897","0.0020","1","10000","0.5251826220684352"
"96","0.02","""Mixed""","0.01","0","0.6206897","0.0020","1","10000","0.5397923875432526"
"98","0.02","""Mixed""","0.01","0","0.6206897","0.0020","1","10000","0.5301806997308728"
"97","0.02","""Mixed""","0.01","0","0.6206897","0.0020","1","10000","0.5513264129181085"
"99","0.02","""Mixed""","0.01","0","0.6206897","0.0020","1","10000","0.5321030372933487"
"100","0.02","""Mixed""","0.01","0","0.6206897","0.0020","1","10000","0.5351787773933102"
"101","0.02","""Mixed""","0.01","0","0.6666667","0.0020","1","10000","0.4863514033064206"
"102","0.02","""Mixed""","0.01","0","0.6666667","0.0020","1","10000","0.4955786236063053"
"103","0.02","""Mixed""","0.01","0","0.6666667","0.0020","1","10000","0.47943098808150714"
"104","0.02","""Mixed""","0.01","0","0.6666667","0.0020","1","10000","0.4805843906189927"
"105","0.02","""Mixed""","0.01","0","0.6666667","0.0020","1","10000","0.4805843906189927"
"107","0.02","""Mixed""","0.01","0","0.6666667","0.0020","1","10000","0.48404459823144946"
"108","0.02","""Mixed""","0.01","0","0.6666667","0.0020","1","10000","0.4932718185313341"
"106","0.02","""Mixed""","0.01","0","0.6666667","0.0020","1","10000","0.5032679738562091"
"109","0.02","""Mixed""","0.01","0","0.6666667","0.0020","1","10000","0.4928873510188389"
"110","0.02","""Mixed""","0.01","0","0.6666667","0.0020","1","10000","0.47750865051903113"
"111","0.02","""Mixed""","0.01","0","0.7096774","0.0020","1","10000","0.4340638216070742"
"113","0.02","""Mixed""","0.01","0","0.7096774","0.0020","1","10000","0.4144559784698193"
"112","0.02","""Mixed""","0.01","0","0.7096774","0.0020","1","10000","0.4463667820069204"
"114","0.02","""Mixed""","0.01","0","0.7096774","0.0020","1","10000","0.4398308342945021"
"115","0.02","""Mixed""","0.01","0","0.7096774","0.0020","1","10000","0.41368704344482893"
"116","0.02","""Mixed""","0.01","0","0.7096774","0.0020","1","10000","0.4559784698193003"
"117","0.02","""Mixed""","0.01","0","0.7096774","0.0020","1","10000","0.4517493271818531"
"118","0.02","""Mixed""","0.01","0","0.7096774","0.0020","1","10000","0.44790465205690116"
"119","0.02","""Mixed""","0.01","0","0.7096774","0.0020","1","10000","0.43521722414455977"
"120","0.02","""Mixed""","0.01","0","0.7096774","0.0020","1","10000","0.42983467896962707"
"122","0.02","""Mixed""","0.01","0","0.75","0.0020","1","10000","0.39215686274509803"
"123","0.02","""Mixed""","0.01","0","0.75","0.0020","1","10000","0.3833141099577086"
"121","0.02","""Mixed""","0.01","0","0.75","0.0020","1","10000","0.36255286428296807"
"124","0.02","""Mixed""","0.01","0","0.75","0.0020","1","10000","0.3756247597078047"
"125","0.02","""Mixed""","0.01","0","0.75","0.0020","1","10000","0.3886966551326413"
"126","0.02","""Mixed""","0.01","0","0.75","0.0020","1","10000","0.3752402921953095"
"128","0.02","""Mixed""","0.01","0","0.75","0.0020","1","10000","0.3606305267204921"
"127","0.02","""Mixed""","0.01","0","0.75","0.0020","1","10000","0.39215686274509803"
"129","0.02","""Mixed""","0.01","0","0.75","0.0020","1","10000","0.3956170703575548"
"130","0.02","""Mixed""","0.01","0","0.75","0.0020","1","10000","0.3875432525951557"
"131","0.02","""Mixed""","0.01","0","0.7878788","0.0020","1","10000","0.35793925413302574"
"132","0.02","""Mixed""","0.01","0","0.7878788","0.0020","1","10000","0.3391003460207612"
"133","0.02","""Mixed""","0.01","0","0.7878788","0.0020","1","10000","0.356401384083045"
"134","0.02","""Mixed""","0.01","0","0.7878788","0.0020","1","10000","0.3464052287581699"
"135","0.02","""Mixed""","0.01","0","0.7878788","0.0020","1","10000","0.3191080353710111"
"137","0.02","""Mixed""","0.01","0","0.7878788","0.0020","1","10000","0.33717800845828527"
"138","0.02","""Mixed""","0.01","0","0.7878788","0.0020","1","10000","0.3333333333333333"
"136","0.02","""Mixed""","0.01","0","0.7878788","0.0020","1","10000","0.3487120338331411"
"139","0.02","""Mixed""","0.01","0","0.7878788","0.0020","1","10000","0.3244905805459439"
"140","0.02","""Mixed""","0.01","0","0.7878788","0.0020","1","10000","0.3356401384083045"
"141","0.02","""Mixed""","0.01","0","0.8235294","0.0020","1","10000","0.2902729719338716"
"143","0.02","""Mixed""","0.01","0","0.8235294","0.0020","1","10000","0.28104575163398693"
"142","0.02","""Mixed""","0.01","0","0.8235294","0.0020","1","10000","0.27989234909650135"
"144","0.02","""Mixed""","0.01","0","0.8235294","0.0020","1","10000","0.28143021914648214"
"145","0.02","""Mixed""","0.01","0","0.8235294","0.0020","1","10000","0.29565551710880433"
"146","0.02","""Mixed""","0.01","0","0.8235294","0.0020","1","10000","0.3018069973087274"
"147","0.02","""Mixed""","0.01","0","0.8235294","0.0020","1","10000","0.2833525567089581"
"148","0.02","""Mixed""","0.01","0","0.8235294","0.0020","1","10000","0.28565936178392926"
"149","0.02","""Mixed""","0.01","0","0.8235294","0.0020","1","10000","0.2829680891964629"
"150","0.02","""Mixed""","0.01","0","0.8235294","0.0020","1","10000","0.28027681660899656"
"152","0.02","""Mixed""","0.01","0","0.8571429","0.0020","1","10000","0.2299115724721261"
"153","0.02","""Mixed""","0.01","0","0.8571429","0.0020","1","10000","0.22568242983467898"
"151","0.02","""Mixed""","0.01","0","0.8571429","0.0020","1","10000","0.24759707804690503"
"154","0.02","""Mixed""","0.01","0","0.8571429","0.0020","1","10000","0.2422145328719723"
"155","0.02","""Mixed""","0.01","0","0.8571429","0.0020","1","10000","0.23337178008458284"
"156","0.02","""Mixed""","0.01","0","0.8571429","0.0020","1","10000","0.25144175317185696"
"157","0.02","""Mixed""","0.01","0","0.8571429","0.0020","1","10000","0.22914263744713573"
"158","0.02","""Mixed""","0.01","0","0.8571429","0.0020","1","10000","0.23913879277201078"
"159","0.02","""Mixed""","0.01","0","0.8571429","0.0020","1","10000","0.21953094963475586"
"160","0.02","""Mixed""","0.01","0","0.8571429","0.0020","1","10000","0.22683583237216456"
"162","0.02","""Mixed""","0.01","0","0.8888889","0.0020","1","10000","0.18608227604767397"
"161","0.02","""Mixed""","0.01","0","0.8888889","0.0020","1","10000","0.184159938485198"
"163","0.02","""Mixed""","0.01","0","0.8888889","0.0020","1","10000","0.1910803537101115"
"164","0.02","""Mixed""","0.01","0","0.8888889","0.0020","1","10000","0.1906958861976163"
"165","0.02","""Mixed""","0.01","0","0.8888889","0.0020","1","10000","0.18685121107266436"
"167","0.02","""Mixed""","0.01","0","0.8888889","0.0020","1","10000","0.2045367166474433"
"168","0.02","""Mixed""","0.01","0","0.8888889","0.0020","1","10000","0.20876585928489041"
"166","0.02","""Mixed""","0.01","0","0.8888889","0.0020","1","10000","0.18492887351018839"
"169","0.02","""Mixed""","0.01","0","0.8888889","0.0020","1","10000","0.19261822376009227"
"170","0.02","""Mixed""","0.01","0","0.8888889","0.0020","1","10000","0.20530565167243367"
"171","0.02","""Mixed""","0.01","0","0.9189189","0.0020","1","10000","0.14263744713571702"
"172","0.02","""Mixed""","0.01","0","0.9189189","0.0020","1","10000","0.13725490196078433"
"173","0.02","""Mixed""","0.01","0","0.9189189","0.0020","1","10000","0.12149173394848135"
"174","0.02","""Mixed""","0.01","0","0.9189189","0.0020","1","10000","0.1380238369857747"
"175","0.02","""Mixed""","0.01","0","0.9189189","0.0020","1","10000","0.1380238369857747"
"177","0.02","""Mixed""","0.01","0","0.9189189","0.0020","1","10000","0.14917339484813533"
"176","0.02","""Mixed""","0.01","0","0.9189189","0.0020","1","10000","0.14302191464821223"
"178","0.02","""Mixed""","0.01","0","0.9189189","0.0020","1","10000","0.12918108419838523"
"179","0.02","""Mixed""","0.01","0","0.9189189","0.0020","1","10000","0.1395617070357555"
"180","0.02","""Mixed""","0.01","0","0.9189189","0.0020","1","10000","0.12687427912341406"
"182","0.02","""Mixed""","0.01","0","0.9473684","0.0020","1","10000","0.07420222991157248"
"183","0.02","""Mixed""","0.01","0","0.9473684","0.0020","1","10000","0.08996539792387544"
"181","0.02","""Mixed""","0.01","0","0.9473684","0.0020","1","10000","0.08073817762399077"
"184","0.02","""Mixed""","0.01","0","0.9473684","0.0020","1","10000","0.08958093041138024"
"185","0.02","""Mixed""","0.01","0","0.9473684","0.0020","1","10000","0.08073817762399077"
"186","0.02","""Mixed""","0.01","0","0.9473684","0.0020","1","10000","0.07920030757400999"
"187","0.02","""Mixed""","0.01","0","0.9473684","0.0020","1","10000","0.08342945021145713"
"188","0.02","""Mixed""","0.01","0","0.9473684","0.0020","1","10000","0.08842752787389466"
"189","0.02","""Mixed""","0.01","0","0.9473684","0.0020","1","10000","0.08073817762399077"
"190","0.02","""Mixed""","0.01","0","0.9473684","0.0020","1","10000","0.0861207227989235"
"192","0.02","""Mixed""","0.01","0","0.974359","0.0020","1","10000","0.05190311418685121"
"191","0.02","""Mixed""","0.01","0","0.974359","0.0020","1","10000","0.04267589388696655"
"193","0.02","""Mixed""","0.01","0","0.974359","0.0020","1","10000","0.05382545174932718"
"194","0.02","""Mixed""","0.01","0","0.974359","0.0020","1","10000","0.04844290657439446"
"195","0.02","""Mixed""","0.01","0","0.974359","0.0020","1","10000","0.05228758169934641"
"197","0.02","""Mixed""","0.01","0","0.974359","0.0020","1","10000","0.0457516339869281"
"198","0.02","""Mixed""","0.01","0","0.974359","0.0020","1","10000","0.04421376393694733"
"196","0.02","""Mixed""","0.01","0","0.974359","0.0020","1","10000","0.048827374086889655"
"199","0.02","""Mixed""","0.01","0","0.974359","0.0020","1","10000","0.04767397154940407"
"200","0.02","""Mixed""","0.01","0","0.974359","0.0020","1","10000","0.04767397154940407"
"201","0.02","""Mixed""","0.01","0","1","0.0020","1","10000","0.03498654363706267"
"202","0.02","""Mixed""","0.01","0","1","0.0020","1","10000","0.03652441368704344"
"203","0.02","""Mixed""","0.01","0","1","0.0020","1","10000","0.039600153787004995"
"204","0.02","""Mixed""","0.01","0","1","0.0020","1","10000","0.03883121876201461"
"205","0.02","""Mixed""","0.01","0","1","0.0020","1","10000","0.03690888119953864"
"207","0.02","""Mixed""","0.01","0","1","0.0020","1","10000","0.03844675124951941"
"208","0.02","""Mixed""","0.01","0","1","0.0020","1","10000","0.03613994617454825"
"206","0.02","""Mixed""","0.01","0","1","0.0020","1","10000","0.03575547866205306"
"209","0.02","""Mixed""","0.01","0","1","0.0020","1","10000","0.03229527104959631"
"210","0.02","""Mixed""","0.01","0","1","0.0020","1","10000","0.041138023836985775"
