"BehaviorSpace results (NetLogo 5.1.0)"
"Task1_PD_nonspatial.nlogo"
"experiment"
"12/10/2014 14:02:31:793 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-1","1","-1","1"
"[run number]","initial_propD","baseline_fitness","popsize","cost","benefit","[step]","count players with [ strategy = ""C""] / count players"
"125","0.01","0","2500","0.75","1","4","0"
"126","0.01","0","2500","0.75","1","4","0"
"127","0.01","0","2500","0.75","1","4","0"
"128","0.01","0","2500","0.75","1","4","0"
"131","0.01","0","2500","0.7878788","1","4","0"
"130","0.01","0","2500","0.75","1","4","0"
"129","0.01","0","2500","0.75","1","4","0"
"132","0.01","0","2500","0.7878788","1","3","0"
"133","0.01","0","2500","0.7878788","1","3","0"
"134","0.01","0","2500","0.7878788","1","3","0"
"135","0.01","0","2500","0.7878788","1","4","0"
"136","0.01","0","2500","0.7878788","1","4","0"
"137","0.01","0","2500","0.7878788","1","3","0"
"139","0.01","0","2500","0.7878788","1","4","0"
"138","0.01","0","2500","0.7878788","1","4","0"
"140","0.01","0","2500","0.7878788","1","3","0"
"141","0.01","0","2500","0.8235294","1","3","0"
"142","0.01","0","2500","0.8235294","1","3","0"
"143","0.01","0","2500","0.8235294","1","3","0"
"144","0.01","0","2500","0.8235294","1","3","0"
"145","0.01","0","2500","0.8235294","1","3","0"
"146","0.01","0","2500","0.8235294","1","3","0"
"147","0.01","0","2500","0.8235294","1","3","0"
"148","0.01","0","2500","0.8235294","1","3","0"
"150","0.01","0","2500","0.8235294","1","3","0"
"151","0.01","0","2500","0.8571429","1","3","0"
"149","0.01","0","2500","0.8235294","1","3","0"
"152","0.01","0","2500","0.8571429","1","3","0"
"153","0.01","0","2500","0.8571429","1","3","0"
"154","0.01","0","2500","0.8571429","1","3","0"
"155","0.01","0","2500","0.8571429","1","3","0"
"156","0.01","0","2500","0.8571429","1","3","0"
"157","0.01","0","2500","0.8571429","1","3","0"
"158","0.01","0","2500","0.8571429","1","3","0"
"159","0.01","0","2500","0.8571429","1","3","0"
"160","0.01","0","2500","0.8571429","1","3","0"
"161","0.01","0","2500","0.8888889","1","3","0"
"162","0.01","0","2500","0.8888889","1","3","0"
"163","0.01","0","2500","0.8888889","1","2","0"
"164","0.01","0","2500","0.8888889","1","3","0"
"165","0.01","0","2500","0.8888889","1","3","0"
"167","0.01","0","2500","0.8888889","1","2","0"
"168","0.01","0","2500","0.8888889","1","3","0"
"166","0.01","0","2500","0.8888889","1","3","0"
"169","0.01","0","2500","0.8888889","1","3","0"
"170","0.01","0","2500","0.8888889","1","3","0"
"171","0.01","0","2500","0.9189189","1","2","0"
"172","0.01","0","2500","0.9189189","1","2","0"
"173","0.01","0","2500","0.9189189","1","2","0"
"174","0.01","0","2500","0.9189189","1","2","0"
"175","0.01","0","2500","0.9189189","1","2","0"
"176","0.01","0","2500","0.9189189","1","2","0"
"177","0.01","0","2500","0.9189189","1","2","0"
"178","0.01","0","2500","0.9189189","1","2","0"
"179","0.01","0","2500","0.9189189","1","2","0"
"181","0.01","0","2500","0.9473684","1","2","0"
"182","0.01","0","2500","0.9473684","1","2","0"
"180","0.01","0","2500","0.9189189","1","2","0"
"183","0.01","0","2500","0.9473684","1","2","0"
"184","0.01","0","2500","0.9473684","1","2","0"
"185","0.01","0","2500","0.9473684","1","2","0"
"186","0.01","0","2500","0.9473684","1","2","0"
"187","0.01","0","2500","0.9473684","1","2","0"
"188","0.01","0","2500","0.9473684","1","2","0"
"189","0.01","0","2500","0.9473684","1","2","0"
"190","0.01","0","2500","0.9473684","1","2","0"
"192","0.01","0","2500","0.974359","1","2","0"
"191","0.01","0","2500","0.974359","1","2","0"
"193","0.01","0","2500","0.974359","1","2","0"
"194","0.01","0","2500","0.974359","1","2","0"
"196","0.01","0","2500","0.974359","1","2","0"
"195","0.01","0","2500","0.974359","1","2","0"
"197","0.01","0","2500","0.974359","1","2","0"
"198","0.01","0","2500","0.974359","1","2","0"
"199","0.01","0","2500","0.974359","1","2","0"
"201","0.01","0","2500","1","1","1","0"
"200","0.01","0","2500","0.974359","1","2","0"
"202","0.01","0","2500","1","1","1","1"
"203","0.01","0","2500","1","1","1","0"
"204","0.01","0","2500","1","1","1","1"
"205","0.01","0","2500","1","1","1","1"
"206","0.01","0","2500","1","1","1","0"
"207","0.01","0","2500","1","1","1","0"
"209","0.01","0","2500","1","1","1","1"
"210","0.01","0","2500","1","1","1","0"
"208","0.01","0","2500","1","1","1","1"
"9","0.01","0","2500","0","1","5000","0.908"
