"BehaviorSpace results (NetLogo 5.1.0)"
"Multifunctional3.nlogo"
"experiment"
"12/16/2014 12:21:56:494 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","50","0","50"
"[run number]","baseline_fitness","benefit","mutation_probability","initial_heterogeneity","initial_propD","Neighborhood_size","cost","mutation_size","Mode","Game_Type","payoff_assessment","[step]","mean [strat_P_cur] of patches"
"37","0","1","0.01","0.02","0.01","12","0.2608696","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.8337256888932943"
"38","0","1","0.01","0.02","0.01","12","0.2608696","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.8568883093655272"
"39","0","1","0.01","0.02","0.01","12","0.2608696","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.8473932574841657"
"40","0","1","0.01","0.02","0.01","12","0.2608696","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.8264821508894875"
"41","0","1","0.01","0.02","0.01","12","0.3333333","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.8045879325180454"
"42","0","1","0.01","0.02","0.01","12","0.3333333","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.7987064587951702"
"43","0","1","0.01","0.02","0.01","12","0.3333333","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.7798221503951344"
"44","0","1","0.01","0.02","0.01","12","0.3333333","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.7934579517862494"
"45","0","1","0.01","0.02","0.01","12","0.3333333","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.7979352195316629"
"46","0","1","0.01","0.02","0.01","12","0.3333333","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.7928957231907232"
"47","0","1","0.01","0.02","0.01","12","0.3333333","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.7963320686611042"
"48","0","1","0.01","0.02","0.01","12","0.3333333","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.7951138356936999"
"49","0","1","0.01","0.02","0.01","12","0.3333333","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.7931253058763561"
"50","0","1","0.01","0.02","0.01","12","0.3333333","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.7974449927750836"
"51","0","1","0.01","0.02","0.01","12","0.4","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.7323945751748087"
"52","0","1","0.01","0.02","0.01","12","0.4","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.7293462129075577"
"53","0","1","0.01","0.02","0.01","12","0.4","0.0020","""Spatial_MixedStrategy""","""Hawk-Dove""","""nonlinear_with_error""","10000","0.7318046115985907"
